rf_power_W,pressure_Pa,substrate_temp_C,ar_flow_sccm,target_substrate_distance_mm,deposition_rate_nm_per_min,refractive_index,surface_roughness_Ra_nm,film_stress_MPa
121,1.49,361,41.4,113,0.5,1.4517,1.61,-86.8
104,1.46,130,17.0,90,0.5,1.4336,1.54,-98.7
219,1.5,184,15.4,84,9.02,1.4452,2.0,-182.5
183,0.66,138,47.5,113,8.91,1.4438,1.33,-202.2
283,0.97,254,39.3,69,22.19,1.4568,1.67,-171.2
117,1.86,335,20.1,112,0.5,1.448,1.69,-49.4
71,1.37,363,36.5,80,0.5,1.4524,0.97,-49.6
137,0.41,116,27.4,85,6.98,1.4462,0.83,-215.9
146,1.71,379,35.8,53,7.04,1.4584,1.41,-64.5
239,0.65,304,36.7,88,17.93,1.4653,1.21,-154.4
73,0.56,245,17.4,110,0.5,1.4447,0.69,-122.7
164,1.12,360,11.6,48,12.3,1.4616,0.85,-104.8
295,0.23,29,14.0,92,22.0,1.4454,1.37,-353.4
132,0.7,323,15.8,64,8.7,1.4545,0.72,-89.6
163,0.72,230,30.1,46,14.95,1.4509,0.7,-150.2
90,0.73,366,48.3,76,4.55,1.4564,0.65,-19.0
227,1.19,151,23.6,105,8.94,1.4424,2.16,-189.6
287,0.62,371,15.6,107,18.09,1.475,0.91,-179.6
54,0.12,399,34.9,57,6.48,1.4654,0.1,-48.8
152,1.21,120,5.6,84,3.21,1.4403,1.71,-140.5
118,1.76,143,30.9,97,0.5,1.4323,1.91,-73.1
251,1.28,320,27.2,50,16.15,1.464,1.55,-121.5
298,1.19,385,48.1,56,24.25,1.4736,1.62,-88.4
260,0.17,282,6.9,81,21.57,1.4776,0.59,-215.0
245,0.78,315,29.9,101,14.74,1.4608,1.38,-157.3
160,0.83,375,14.6,45,12.37,1.4689,0.65,-116.0
224,1.17,204,38.0,100,11.35,1.4455,1.81,-171.8
80,1.25,28,25.8,68,1.34,1.4292,1.45,-142.2
102,0.52,170,40.3,103,3.42,1.4479,0.73,-191.0
214,0.84,277,44.0,117,10.16,1.4509,1.42,-169.1
176,1.81,141,42.8,100,4.02,1.4303,2.14,-173.9
266,0.27,31,11.2,44,25.67,1.441,1.23,-311.7
204,1.12,295,21.5,46,16.55,1.4643,1.37,-153.7
149,1.75,280,44.9,81,3.65,1.4489,1.76,-65.8
52,0.82,118,27.7,88,0.5,1.4384,0.97,-148.0
213,1.89,175,28.5,51,12.8,1.4376,2.34,-123.0
111,0.96,69,37.5,47,8.29,1.4364,1.29,-135.8
288,0.89,209,33.9,47,24.86,1.4572,1.37,-222.1
166,0.76,185,12.9,73,11.14,1.4445,1.05,-204.3
172,1.73,65,20.4,119,0.5,1.4266,2.49,-188.0
212,1.38,394,12.2,118,4.84,1.4633,1.49,-86.5
99,0.34,264,17.4,72,4.79,1.4555,0.34,-154.7
191,1.64,114,19.1,66,6.58,1.4355,2.19,-186.0
233,0.92,341,40.1,65,16.38,1.4683,1.25,-122.7
194,1.1,112,34.5,49,16.53,1.4416,1.59,-193.2
