rf_power_W,pressure_Pa,substrate_temp_C,ar_flow_sccm,target_substrate_distance_mm,deposition_rate_nm_per_min,refractive_index,surface_roughness_Ra_nm,film_stress_MPa
248,0.46,77,35.6,66,22.31,1.4448,1.4,-253.4
168,1.47,206,21.1,110,1.84,1.4421,1.86,-124.2
228,0.51,108,9.2,68,16.78,1.4453,1.1,-248.8
144,1.59,378,40.5,107,2.52,1.4554,1.58,-33.6
201,1.25,328,26.9,116,7.06,1.458,1.58,-84.1
185,1.35,232,28.5,93,7.19,1.4525,1.76,-156.0
133,1.81,120,37.9,78,0.98,1.4362,2.25,-124.9
297,1.98,95,19.8,52,16.98,1.4408,2.85,-245.4
92,0.83,34,47.0,47,8.44,1.4331,1.06,-166.7
62,1.21,347,23.2,101,0.5,1.4553,1.02,-30.4
261,1.69,53,41.9,87,11.11,1.4314,2.67,-247.3
122,1.0,140,14.1,59,5.22,1.4411,1.29,-184.6
190,0.91,319,48.9,75,13.22,1.4605,1.05,-84.5
281,0.68,183,10.2,80,20.41,1.4604,1.45,-254.6
76,1.06,257,32.3,100,0.5,1.447,1.09,-101.2
102,0.16,387,30.0,41,11.55,1.4726,0.13,-48.6
271,0.62,299,17.6,88,17.93,1.4666,1.0,-194.1
72,0.25,219,5.4,62,4.13,1.4574,0.21,-155.3
225,0.36,270,13.8,117,9.84,1.4622,0.86,-197.5
154,1.78,158,44.6,51,7.24,1.4373,1.77,-144.7
