iteration,rf_power_W,pressure_Pa,substrate_temp_C,ar_flow_sccm,target_substrate_distance_mm,deposition_rate_nm_per_min,refractive_index,surface_roughness_Ra_nm,film_stress_MPa,objective_score
1,300,0.22,251,50.0,40,33.27,1.4766,0.8,-232.0,0.3614
2,300,0.914,400,19.0,40,24.4,1.4796,1.14,-126.2,0.6862
3,173,0.635,292,40.7,40,18.68,1.4657,0.72,-139.2,0.0565
4,272,0.889,252,42.3,40,23.78,1.4675,1.3,-159.4,0.1989
5,129,0.839,358,10.2,40,8.27,1.463,0.45,-107.7,0.1419
6,115,0.1,271,26.5,40,13.84,1.4592,0.1,-134.1,-0.2446
7,50,0.1,291,50.0,40,7.33,1.4605,0.1,-76.5,-0.1109
8,116,0.1,291,50.0,66,10.92,1.4646,0.17,-106.6,0.0342
9,145,0.1,237,50.0,40,17.72,1.4675,0.13,-124.4,-0.0429
10,300,0.1,162,9.6,120,19.91,1.456,1.29,-293.6,0.3194
11,300,2.0,374,45.3,40,20.3,1.4612,2.05,-72.2,0.1515
12,50,2.0,400,46.2,40,0.5,1.4523,1.38,25.1,0.8578
13,50,0.1,400,23.8,120,0.5,1.4662,0.18,-72.7,0.4285
14,50,0.1,273,35.2,40,7.03,1.4638,0.1,-86.3,0.0765
15,300,2.0,293,20.7,40,18.18,1.457,2.52,-142.3,0.563
16,188,0.1,205,35.0,40,20.19,1.4597,0.31,-205.4,-0.3233
17,198,0.1,196,5.0,40,19.35,1.4652,0.34,-202.8,-0.0427
18,300,2.0,400,44.6,120,11.05,1.4634,2.52,-82.8,0.7504
19,300,0.1,148,45.4,40,34.67,1.4628,0.86,-254.0,-0.2804
20,300,0.1,158,5.0,40,31.06,1.4628,0.72,-290.9,-0.2826
21,300,0.1,157,50.0,40,32.74,1.4657,0.8,-255.4,-0.1544
22,300,0.1,123,5.0,40,30.15,1.4636,0.81,-315.1,-0.1813
23,300,0.1,25,17.1,40,31.69,1.4497,1.14,-356.5,0.3192
24,249,0.1,167,50.0,40,27.92,1.463,0.49,-242.8,-0.3415
25,244,0.1,165,50.0,40,27.82,1.468,0.66,-228.3,-0.0476
26,300,0.1,169,5.0,40,29.15,1.4658,0.5,-285.7,-0.1861
27,300,0.1,400,34.8,120,21.66,1.4814,0.83,-209.6,0.8664
28,50,0.1,142,34.0,40,6.91,1.4496,0.16,-175.3,0.5425
29,300,0.382,169,37.2,40,29.9,1.4571,1.04,-247.4,-0.2182
30,300,0.1,138,39.7,40,32.48,1.4609,0.85,-272.1,-0.3563
31,250,0.1,195,39.3,53,26.07,1.4638,0.45,-240.9,-0.255
32,188,0.1,247,33.8,40,21.07,1.4632,0.21,-173.9,-0.282
33,300,0.1,171,36.3,40,32.04,1.4675,0.8,-271.7,-0.044
34,175,0.1,273,19.6,40,18.59,1.4589,0.12,-172.3,-0.3359
35,186,0.1,266,5.0,40,16.21,1.4665,0.27,-166.3,0.059
36,235,0.1,195,7.3,40,24.06,1.4693,0.67,-271.0,0.2017
37,146,0.1,304,44.1,40,16.98,1.468,0.1,-139.4,0.0156
38,300,0.1,129,22.4,40,31.77,1.4628,0.7,-272.4,-0.3126
39,50,0.1,287,43.6,120,0.5,1.4591,0.34,-93.0,0.244
40,51,0.452,333,12.7,43,5.74,1.4635,0.11,-76.9,0.0969
41,286,0.106,101,45.1,43,33.28,1.4611,0.99,-276.4,-0.2926
42,295,0.22,147,14.0,42,29.66,1.4612,0.78,-263.3,-0.3649
43,189,0.104,156,18.6,40,20.2,1.4535,0.42,-227.5,0.0519
44,298,0.511,162,48.0,43,30.03,1.4645,1.21,-279.7,-0.0426
45,300,0.1,125,5.0,40,30.65,1.4596,0.69,-350.3,-0.3387
46,300,0.1,125,50.0,40,31.94,1.4613,0.78,-262.7,-0.3721
47,300,0.1,123,50.0,40,32.72,1.4605,0.94,-264.0,-0.3553
48,138,0.149,330,33.9,116,4.93,1.4707,0.23,-123.3,0.5838
49,300,0.1,122,50.0,40,31.98,1.4634,0.74,-296.7,-0.2384
50,220,2.0,400,48.7,40,13.05,1.4581,1.82,-35.3,0.3068
